id,name,field_type,club_type
1,The Grey Towers of Durham,grass,club
2,Caledonia's Call,grass,club
3,Edenbridge,grass,club
4,Highfield Mixer,grass,club
5,Junction 7,grass,club
6,London Moooxed,grass,club
7,Maypole Mayhem,grass,club
8,Midsummer Madness,grass,club
9,Moor Lane,grass,club
10,Nottingham Windfarm,grass,club
11,Rhymney Cup,grass,club
12,Spring Showdown,grass,club
13,UKU Northern Club Regionals 2019,grass,club
14,UKU Northern Club South 2019,grass,club
15,UKU Nationals,grass,club
16,Y Ddraig Goch,grass,club
